Old Key,New Key
dmp.steps.costs.label,dmp.steps.costs.label
dmp.steps.costs.question.description,dmp.steps.costs.question.description
dmp.steps.costs.question.exist.label,dmp.steps.costs.question.exist.label
dmp.steps.costs.question.exist.no,dmp.steps.costs.question.exist.no
dmp.steps.costs.question.exist.yes,dmp.steps.costs.question.exist.yes
dmp.steps.costs.question.other,dmp.steps.costs.question.specifyType
dmp.steps.costs.question.title,dmp.steps.costs.question.name
dmp.steps.costs.question.type,dmp.steps.costs.question.type
dmp.steps.costs.question.value,dmp.steps.costs.question.value
dmp.steps.costs.rightLabel,dmp.steps.costs.sectionTitle
dmp.steps.data.access.aria.other,dmp.steps.data.access.aria.other
dmp.steps.data.access.aria.public,dmp.steps.data.access.aria.public
dmp.steps.data.access.aria.selected,dmp.steps.data.access.aria.selected
dmp.steps.data.access.question.dataset,dmp.steps.data.access.question.dataset
dmp.steps.data.access.question.other,dmp.steps.data.access.question.other
dmp.steps.data.access.question.public,dmp.steps.data.access.question.public
dmp.steps.data.access.question.right,dmp.steps.data.access.question.right
dmp.steps.data.access.question.selected,dmp.steps.data.access.question.selected
dmp.steps.data.deletion.question.date,dmp.steps.data.deletion.question.date
dmp.steps.data.deletion.question.delete,dmp.steps.data.deletion.question.delete
dmp.steps.data.deletion.question.label,dmp.steps.data.deletion.question.label
dmp.steps.data.deletion.question.person,dmp.steps.data.deletion.question.person
dmp.steps.data.deletion.question.reason,dmp.steps.data.deletion.question.reason
dmp.steps.data.reuse.label,dmp.steps.data.reuse.label
dmp.steps.data.reuse.question.restrictedDataAccess,dmp.steps.data.reuse.question.restrictedDataAccess
dmp.steps.data.reuse.question.targetAudience,dmp.steps.data.reuse.question.long.targetAudience
dmp.steps.data.reuse.question.tools,dmp.steps.data.reuse.question.long.tools
dmp.steps.data.reuse.rightLabel,dmp.steps.data.reuse.sectionTitle
dmp.steps.data.specify.answer.kind.none,dmp.steps.data.specify.answer.none
dmp.steps.data.specify.answer.kind.reuse.none,dmp.steps.data.specify.answer.kind.reuse.none]
dmp.steps.data.specify.answer.kind.specify,dmp.steps.data.specify.answer.defineDatasets
dmp.steps.data.specify.answer.kind.unknown,dmp.steps.data.specify.answer.unknownYet
dmp.steps.data.specify.button.add.doi,dmp.steps.data.specify.button.addFromDoi
dmp.steps.data.specify.button.add.manual,dmp.steps.data.specify.button.addManual
dmp.steps.data.specify.dialog.add,dmp.steps.data.specify.dialog.title.create
dmp.steps.data.specify.dialog.button.add,dmp.steps.data.specify.dialog.button.add
dmp.steps.data.specify.dialog.button.addTechnicalResource,dmp.steps.data.specify.dialog.button.addTechnicalResource
dmp.steps.data.specify.dialog.button.cancel,dmp.steps.data.specify.dialog.button.cancel
dmp.steps.data.specify.dialog.button.close,dmp.steps.data.specify.dialog.button.close
dmp.steps.data.specify.dialog.button.update,dmp.steps.data.specify.dialog.button.update
dmp.steps.data.specify.dialog.description,dmp.steps.data.specify.dialog.description
dmp.steps.data.specify.dialog.edit,dmp.steps.data.specify.dialog.edit
dmp.steps.data.specify.dialog.fileFormat,dmp.steps.data.specify.dialog.fileFormat
dmp.steps.data.specify.dialog.fileFormat.info,dmp.steps.data.specify.dialog.fileFormat.info
dmp.steps.data.specify.dialog.license,dmp.steps.data.specify.dialog.license
dmp.steps.data.specify.dialog.size,dmp.steps.data.specify.dialog.size
dmp.steps.data.specify.dialog.source,dmp.steps.data.specify.dialog.source
dmp.steps.data.specify.dialog.technicalResource,dmp.steps.data.specify.dialog.technicalResource
dmp.steps.data.specify.dialog.title,dmp.steps.data.specify.dialog.field.title
dmp.steps.data.specify.dialog.type,dmp.steps.data.specify.dialog.type
dmp.steps.data.specify.doi.not.found,dmp.steps.data.specify.doi.notFound
dmp.steps.data.specify.doi.search,dmp.steps.data.specify.doi.search
dmp.steps.data.specify.intro.default,dmp.steps.data.specify.intro.default
dmp.steps.data.specify.intro.reused,dmp.steps.data.specify.intro.reused
dmp.steps.data.specify.label,dmp.steps.data.specify.label
dmp.steps.data.specify.question.kind,dmp.steps.data.specify.question.kind
dmp.steps.data.specify.question.nodata,dmp.steps.data.specify.question.long.noData
dmp.steps.data.specify.question.reused,dmp.steps.data.specify.question.reused
dmp.steps.data.specify.tab.access,dmp.steps.storage.view.button.access
dmp.steps.data.specify.tab.cancel,dmp.steps.data.specify.dialog.button.cancel
dmp.steps.data.specify.tab.storage,dmp.steps.storage.view.button.storage
dmp.steps.data.specify.tab.upload,dmp.steps.data.specify.button.upload
dmp.steps.data.specify.table.header.actions,dmp.steps.data.specify.table.header.actions
dmp.steps.data.specify.table.header.dataset,dmp.steps.data.specify.table.header.dataset
dmp.steps.data.specify.table.header.datatype,dmp.steps.data.specify.table.header.datatype
dmp.steps.data.specify.table.header.description,dmp.steps.data.specify.table.header.description
dmp.steps.data.specify.table.header.fileFormat,dmp.steps.data.specify.table.header.fileFormat
dmp.steps.data.specify.table.header.license,dmp.steps.data.specify.table.header.license
dmp.steps.data.specify.table.header.size,dmp.steps.data.specify.table.header.size
dmp.steps.data.specify.table.header.source,dmp.steps.data.specify.table.header.source
dmp.steps.data.specify.table.heading.new,dmp.steps.data.specify.view.button.new
dmp.steps.data.specify.table.heading.reused,dmp.steps.data.specify.view.button.reused
dmp.steps.documentation.label,dmp.steps.documentation.label
dmp.steps.documentation.question.dataQuality,dmp.steps.documentation.question.long.dataQuality
dmp.steps.documentation.question.datageneration,dmp.steps.data.specify.question.long.dataGeneration
dmp.steps.documentation.question.documentation,dmp.steps.documentation.question.long.documentation
dmp.steps.documentation.question.metadata,dmp.steps.documentation.question.long.metadata
dmp.steps.documentation.question.otherDataQuality,dmp.steps.documentation.question.long.otherDataQuality
dmp.steps.documentation.question.structure,dmp.steps.documentation.question.long.structure
dmp.steps.end.label,dmp.steps.end.label
dmp.steps.ethical.heading,dmp.steps.legal.view.button.ethical
dmp.steps.ethical.question.committeeReviewed.prefix,dmp.steps.legal.question.committeeReviewed.prefix
dmp.steps.ethical.question.committeeReviewed.researchCommittee.link,dmp.steps.legal.question.committeeReviewed.researchCommittee.link
dmp.steps.ethical.question.committeeReviewed.researchCommittee.text,dmp.steps.legal.question.committeeReviewed.researchCommittee.text
dmp.steps.ethical.question.committeeReviewed.suffix,dmp.steps.legal.question.committeeReviewed.suffix
dmp.steps.ethical.question.ethicalIssueReport,dmp.steps.legal.question.ethicalIssueReport
dmp.steps.ethical.question.ethicalIssues,dmp.steps.legal.question.ethicalIssues
dmp.steps.ethical.question.humanParticipants,dmp.steps.legal.question.humanParticipants
dmp.steps.legal.heading,dmp.steps.legal.view.button.legal
dmp.steps.legal.label,dmp.steps.legal.label
dmp.steps.legal.link.sensitiveData,dmp.steps.legal.link.sensitiveData
dmp.steps.legal.question.dataRightsAndAccessControl,dmp.steps.legal.question.long.dataRightsAndAccessControl
dmp.steps.legal.question.dataset.legalRestrictions,dmp.steps.legal.question.dataset.legalRestrictions
dmp.steps.legal.question.dataset.personalData,dmp.steps.legal.question.dataset.personalData
dmp.steps.legal.question.dataset.sensitiveData,dmp.steps.legal.question.dataset.sensitiveData
dmp.steps.legal.question.legalRestrictions,dmp.steps.legal.question.legalRestrictions
dmp.steps.legal.question.legalRestrictionsComment,dmp.steps.legal.question.long.legalRestrictionsComment
dmp.steps.legal.question.legalRestrictionsDocuments,dmp.steps.legal.question.legalRestrictionsDocuments
dmp.steps.legal.question.otherDataSecurityMeasures,dmp.steps.legal.question.long.otherDataSecurityMeasures
dmp.steps.legal.question.otherLegalRestrictionsDocuments,dmp.steps.legal.question.long.otherLegalRestrictionsDocuments
dmp.steps.legal.question.otherPersonalDataCompliance,dmp.steps.legal.question.long.otherPersonalDataCompliance
dmp.steps.legal.question.personalData,dmp.steps.legal.question.personalData
dmp.steps.legal.question.personalDataCompliance,dmp.steps.legal.question.personalDataCompliance
dmp.steps.legal.question.sensitiveData.link,dmp.steps.legal.question.sensitiveData.link
dmp.steps.legal.question.sensitiveData.prefix,dmp.steps.legal.question.sensitiveData.prefix
dmp.steps.legal.question.sensitiveData.suffix,dmp.steps.legal.question.sensitiveData.suffix
dmp.steps.legal.question.sensitiveDataAccess,dmp.steps.legal.question.long.sensitiveDataAccess
dmp.steps.legal.question.sensitiveDataSecurity,dmp.steps.legal.question.sensitiveDataSecurity
dmp.steps.licensing.info,dmp.steps.licensing.info
dmp.steps.licensing.label,dmp.steps.licensing.label
dmp.steps.licensing.question.closedAccessInfo,dmp.steps.licensing.question.long.closedAccessInfo
dmp.steps.licensing.question.dataAccess,dmp.steps.licensing.question.dataAccess
dmp.steps.licensing.question.license.existing,dmp.steps.licensing.question.license.existing
dmp.steps.licensing.question.license.reused,dmp.steps.licensing.question.license.reused
dmp.steps.licensing.question.restrictedAccessInfo,dmp.steps.licensing.question.long.restrictedAccessInfo
dmp.steps.licensing.question.startDate,dmp.steps.licensing.question.startDate
dmp.steps.licensing.rightLabel,dmp.steps.licensing.sectionTitle
dmp.steps.licensing.warning.legalRestrictions,dmp.steps.licensing.warning.legalRestrictions
dmp.steps.licensing.warning.personalData,dmp.steps.licensing.warning.personalData
dmp.steps.licensing.warning.pseudonymisation,dmp.steps.licensing.warning.pseudonymisation
dmp.steps.people.confirm.dialog.button.cancel,dmp.steps.people.delete.dialog.button.cancel
dmp.steps.people.confirm.dialog.button.confirm,dmp.steps.people.delete.dialog.button.confirm
dmp.steps.people.confirm.dialog.heading,dmp.steps.people.delete.dialog.heading
dmp.steps.people.confirm.dialog.question,dmp.steps.people.delete.dialog.question
dmp.steps.people.contact.add,dmp.steps.people.contact.add
dmp.steps.people.contact.cancel,dmp.steps.people.contact.cancel
dmp.steps.people.contact.edit,dmp.steps.people.contact.edit
dmp.steps.people.contact.editContributor,dmp.steps.people.contact.editContributor
dmp.steps.people.contact.info,dmp.steps.people.contact.info
dmp.steps.people.contact.person,dmp.steps.people.contact.person
dmp.steps.people.contact.remove,dmp.steps.people.contact.remove
dmp.steps.people.contact.title,dmp.steps.people.contact.title
dmp.steps.people.contact.update,dmp.steps.people.contact.update
dmp.steps.people.contributor.add,dmp.steps.people.contributor.add
dmp.steps.people.contributor.remove,dmp.steps.people.contributor.remove
dmp.steps.people.contributor.role,dmp.steps.people.contributor.role
dmp.steps.people.contributor.search,dmp.steps.people.view.button.searchContributor
dmp.steps.people.general.addAll,dmp.steps.people.general.addAll
