old_key,new_key,default_value_en,default_value_de,context,file_source
agreement,ui.consent.agreement,"I hereby declare that I have been informed about the information obligations (right to information / correction / deletion, etc.) according to article 12 - 21 DSGVO and have taken note of them.",,General UI text,apps/damap-frontend/src/assets/i18n/consent/en.json
button.actions,ui.button.actions,Actions,,Button label,libs/damap/src/assets/i18n/templates/en.json
button.discard,ui.button.discard,Discard changes,,Button label,libs/damap/src/assets/i18n/templates/en.json
button.export,ui.button.export,Export document,,Button label,libs/damap/src/assets/i18n/templates/en.json
button.preview.content,ui.button.preview.content,Show preview,,Button label,libs/damap/src/assets/i18n/templates/en.json
button.preview.tooltipDisabled,ui.button.preview.tooltipDisabled,Please save the DMP before being able to preview it.,,Button label,libs/damap/src/assets/i18n/templates/en.json
button.save,ui.button.save,Save changes,,Button label,libs/damap/src/assets/i18n/templates/en.json
button.version,ui.button.version,Save new version,,Button label,libs/damap/src/assets/i18n/templates/en.json
contenttypes,dmp.contenttypes,Content types,,General UI text,libs/damap/src/assets/i18n/templates/en.json
dashboard.dmp.heading,ui.dashboard.dmp.heading,What is a DMP?,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.dmp.text.dmp.link,ui.dashboard.dmp.text.dmp.link,https://www.tuwien.at/index.php?id=2819&L=1,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.dmp.text.dmp.text,ui.dashboard.dmp.text.dmp.text,DMP,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.dmp.text.fairprinciples.link,ui.dashboard.dmp.text.fairprinciples.link,https://www.go-fair.org/fair-principles/,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.dmp.text.fairprinciples.text,ui.dashboard.dmp.text.fairprinciples.text,FAIR Principles,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.dmp.text.middle,ui.dashboard.dmp.text.middle," is a structured document that keeps record of what research data is created and what happens to that data during and after a project. It helps with planning the research process, managing your data in accordance with the ",,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.dmp.text.prefix,ui.dashboard.dmp.text.prefix,A ,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.dmp.text.suffix,ui.dashboard.dmp.text.suffix,", and defining rights and responsibilities in a research project involving several researchers or institutions.",,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.instructions.create.description,ui.dashboard.instructions.create.description,"  Start creating a new DMP by following guided steps. Save your progress, invite colleagues, and export the DMP as a document for submission.",,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.instructions.create.heading,ui.dashboard.instructions.create.heading,CREATE NEW DMP,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.instructions.description,ui.dashboard.instructions.description,"Learn how to create a DMP step-by-step, including exporting drafts, editing, and updating your DMP according to funder requirements.",,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.instructions.export.body,ui.dashboard.instructions.export.body,"Depending on the funder of your project, the exported DMP will either reflect the funder’s DMP template (FWF, Horizon Europe) or the DMP recommendations by Science Europe. This happens automatically for imported projects.",,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.instructions.export.heading,ui.dashboard.instructions.export.heading,Export the DMP draft as a document.,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.instructions.finalise.body,ui.dashboard.instructions.finalise.body,"The exported DMP is an automatically created draft that you still need to add the finishing touches to. If you have a choice, we recommend editing in Word. Check the content carefully and complete any missing information, including the DMP version details on the cover sheet. Once ready, you can save your DMP as a PDF and provide it to the funder. Please note that you do not need to transfer your changes back into the DMP tool, as the created DMP document will be the basis for subsequent versions, not the tool.",,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.instructions.finalise.heading,ui.dashboard.instructions.finalise.heading,Finalise your DMP in a text editor.,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.instructions.heading,ui.dashboard.instructions.heading,HOW TO CREATE A DMP,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.instructions.steps.body,ui.dashboard.instructions.steps.body,"You do not have to do all steps in one go, simply save the status and continue later. You can always go back and jump between steps. You may even invite colleagues from your institution to add information. If you wish, you can version your DMP.",,DMP form step content,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.instructions.steps.heading,ui.dashboard.instructions.steps.heading,Follow the tool through steps 1-10 to provide the required information.,,DMP form step content,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.instructions.update.body,ui.dashboard.instructions.update.body,"A DMP is a living document and it is recommended to keep it up to date – for yourself, the project team, and the funder. The funders usually ask for updates at certain milestones and at the end of the project. Any changes can easily be done within the document, you do not need the tool for updates. Nevertheless, if you wish to add or change details and create a new version in the DMP tool, for example to update the machine-actionable information, remember to carefully check and complete the exported DMP as described above.",,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.instructions.update.heading,ui.dashboard.instructions.update.heading,Regularly update your DMP.,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.tool.bulletpoints.benefits.one,ui.dashboard.tool.bulletpoints.benefits.one,Pre-filling content with detailed information from your CRIS application and other systems,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.tool.bulletpoints.benefits.text,ui.dashboard.tool.bulletpoints.benefits.text,Saves you work by,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.tool.bulletpoints.benefits.three,ui.dashboard.tool.bulletpoints.benefits.three,Suggesting answers that you can either comply with or adjust to your needs,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.tool.bulletpoints.benefits.two,ui.dashboard.tool.bulletpoints.benefits.two,"Providing wizards, guidance, and item lists to choose from",,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.tool.bulletpoints.dmp.sepg.link,ui.dashboard.tool.bulletpoints.dmp.sepg.link,https://www.scienceeurope.org/our-resources/practical-guide-to-the-international-alignment-of-research-data-management,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.tool.bulletpoints.dmp.sepg.text,ui.dashboard.tool.bulletpoints.dmp.sepg.text,Science Europe Practical Guide,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.tool.bulletpoints.dmp.text,ui.dashboard.tool.bulletpoints.dmp.text,Guides you step by step through the different sections of a DMP following the ,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
dashboard.tool.bulletpoints.document,ui.dashboard.tool.bulletpoints.document,Exports a pre-filled DMP as a document that you can customize and use for submission to European and national funders,,General UI text,libs/damap/src/assets/i18n/dashboard/en.json
