Old Key,New Key,Value,Suggested Key,Suggested Key Value
license.wizard.license.gpl3.description,COULD_NOT_BE_AUTO_REPLACE,"You may copy, distribute and modify the software as long as you track changes/dates of in source files and keep modifications under GPL. You can distribute your application using a GPL library commercially, but you must also provide the source code. GPL 3 tries to close some loopholes in GPL 2.",license-wizard.license.gpl3.description,"You may copy, distribute and modify the software as long as you track changes/dates of in source files and keep modifications under GPL. You can distribute your application using a GPL library commercially, but you must also provide the source code. GPL 3 tries to close some loopholes in GPL 2.(2)"
license.wizard.license.gpl3plus.description,COULD_NOT_BE_AUTO_REPLACE,"You may copy, distribute and modify the software as long as you track changes/dates of in source files and keep modifications under GPL. You can distribute your application using a GPL library commercially, but you must also provide the source code. GPL 3 tries to close some loopholes in GPL 2.",license-wizard.license.gpl3plus.description,"You may copy, distribute and modify the software as long as you track changes/dates of in source files and keep modifications under GPL. You can distribute your application using a GPL library commercially, but you must also provide the source code. GPL 3 tries to close some loopholes in GPL 2.(2)"
license.wizard.license.lgpl3.description,COULD_NOT_BE_AUTO_REPLACE,"You may copy, distribute and modify the software provided that modifications are described inside the modified files and licensed for free under LGPL-2.1.  Derivatives or non-separate (statically-linked) works of the software must be licensed under LGPL, but separate, parent projects don't have to be. LGPL 3 tries to close some loopholes in LGPL 2.1.",license-wizard.license.lgpl3.description,"You may copy, distribute and modify the software provided that modifications are described inside the modified files and licensed for free under LGPL-2.1.  Derivatives or non-separate (statically-linked) works of the software must be licensed under LGPL, but separate, parent projects don't have to be. LGPL 3 tries to close some loopholes in LGPL 2.1.(2)"
license.wizard.license.lgpl3plus.description,COULD_NOT_BE_AUTO_REPLACE,"You may copy, distribute and modify the software provided that modifications are described inside the modified files and licensed for free under LGPL-2.1.  Derivatives or non-separate (statically-linked) works of the software must be licensed under LGPL, but separate, parent projects don't have to be. LGPL 3 tries to close some loopholes in LGPL 2.1.",license-wizard.license.lgpl3plus.description,"You may copy, distribute and modify the software provided that modifications are described inside the modified files and licensed for free under LGPL-2.1.  Derivatives or non-separate (statically-linked) works of the software must be licensed under LGPL, but separate, parent projects don't have to be. LGPL 3 tries to close some loopholes in LGPL 2.1.(2)"
versions.versionId,COULD_NOT_BE_AUTO_REPLACE,Version,dmp.versions.versionId,Version(3)
versions.versionName,COULD_NOT_BE_AUTO_REPLACE,Name,dmp.versions.versionName,Name(2)
versions.editor,COULD_NOT_BE_AUTO_REPLACE,Editor,dmp.versions.editor,Editor
versions.view.datasets.heading,COULD_NOT_BE_AUTO_REPLACE,Datasets,dmp.versions.view.datasets.heading,Datasets(3)
versions.view.datasets.size,COULD_NOT_BE_AUTO_REPLACE,Size,dmp.versions.view.datasets.size,Size(2)
versions.view.datasets.description,COULD_NOT_BE_AUTO_REPLACE,Description,dmp.versions.view.datasets.description,Description(6)
versions.view.datasets.license,COULD_NOT_BE_AUTO_REPLACE,License,dmp.versions.view.datasets.license,License(3)
versions.view.datasets.restrictions.label,COULD_NOT_BE_AUTO_REPLACE,Restrictions,dmp.versions.view.datasets.restrictions.label,Restrictions(2)
versions.view.datasets.deletion.date,COULD_NOT_BE_AUTO_REPLACE,Date of deletion,dmp.versions.view.datasets.deletion.date,Date of deletion(2)
versions.view.datasets.deletion.reason,COULD_NOT_BE_AUTO_REPLACE,Reason for deletion,dmp.versions.view.datasets.deletion.reason,Reason for deletion(2)
versions.view.datasets.deletion.person,COULD_NOT_BE_AUTO_REPLACE,Person responsible for deletion,dmp.versions.view.datasets.deletion.person,Person responsible for deletion(2)
versions.view.documentation.heading,COULD_NOT_BE_AUTO_REPLACE,Documentation and data quality,dmp.versions.view.documentation.heading,Documentation and data quality(2)
versions.view.legal.heading,COULD_NOT_BE_AUTO_REPLACE,Legal and ethical aspects,dmp.versions.view.legal.heading,Legal and ethical aspects(2)
versions.view.legal.personal.data.other.compliance,COULD_NOT_BE_AUTO_REPLACE,Other measures,dmp.versions.view.legal.personal.data.other.compliance,Other measures(2)
versions.view.legal.restrictions.comment,COULD_NOT_BE_AUTO_REPLACE,Restrictions,dmp.versions.view.legal.restrictions.comment,Restrictions(2)
versions.view.legal.restrictions.other.documents,COULD_NOT_BE_AUTO_REPLACE,Other documents,dmp.versions.view.legal.restrictions.other.documents,Other documents(2)
versions.view.storage.heading,COULD_NOT_BE_AUTO_REPLACE,Storage,dmp.versions.view.storage.heading,Storage(2)
versions.view.storage.datasets,COULD_NOT_BE_AUTO_REPLACE,Datasets,dmp.versions.view.storage.datasets,Datasets(3)
versions.view.storage.url,COULD_NOT_BE_AUTO_REPLACE,URL,dmp.versions.view.storage.url,URL(3)
versions.view.reuse.target.audience,COULD_NOT_BE_AUTO_REPLACE,Target audience,dmp.versions.view.reuse.target.audience,Target audience(2)
versions.view.repositories.heading,COULD_NOT_BE_AUTO_REPLACE,Repositories,dmp.versions.view.repositories.heading,Repositories(2)
versions.view.repositories.datasets,COULD_NOT_BE_AUTO_REPLACE,Datasets,dmp.versions.view.repositories.datasets,Datasets(3)
versions.view.costs.heading,COULD_NOT_BE_AUTO_REPLACE,Costs,dmp.versions.view.costs.heading,Costs(2)
enum.compliance.OTHER,COULD_NOT_BE_AUTO_REPLACE,other measures,dmp.versions.view.legal.personal.data.other.compliance,Other measures
enum.contributor.role.EDITOR,COULD_NOT_BE_AUTO_REPLACE,Editor,dmp.versions.editor,Editor
enum.securitymeasure.OTHER,COULD_NOT_BE_AUTO_REPLACE,other measures,dmp.steps.documentation.question.short.otherDataQuality,Other measures
